Country Name,"Country Code","Series Name","Series Code","1990 [YR1990]","2000 [YR2000]","2010 [YR2010]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2030 [YR2030]","2040 [YR2040]","2050 [YR2050]"
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Agricultural Soils","CC.EAR.AGS","129524.029","136435.612","140816.4531","144838.9799","149087.912","147613.7517","147255.2641","145742.8007","..","..","..","137033.884","..","141651.2997"
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Burning - Crop residues","CC.EAR.BCR","3682.9625","3658.0407","3926.4502","3870.3412","4060.7717","3796.7584","3783.7176","3743.0966","..","..","..","4273.5269","..","4409.059"
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Crop Residues","CC.EAR.CRE","19193.1314","21221.4989","24102.152","26054.2178","29390.7271","26788.5264","26846.6988","24770.11","..","..","..","28415.4587","..","29864.118"
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Drained organic soils","CC.EAR.DOS","48024.4547","48101.861","47505.6317","47132.4322","46904.0332","46878.7025","46991.4139","46991.4139","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Drained organic soils (CO2)","CC.EAR.DOC","40908.5245","40960.5329","40414.9923","40087.2858","39883.2599","39860.2767","39955.1323","39955.1323","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Drained organic soils (N2O)","CC.EAR.DON","7115.9302","7141.3281","7090.6393","7045.1464","7020.7733","7018.4258","7036.2816","7036.2816","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Emissions on agricultural land","CC.EAR.EAL","520097.465","529408.2392","475303.7382","466743.0183","535933.0428","534744.2268","538857.7861","536407.1894","..","..","..","385455.0057","..","389317.7433"
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Enteric Fermentation","CC.EAR.EFE","170822.988","172088.3766","168240.4108","161470.4631","165787.5208","168568.5991","169819.659","170583.2966","..","..","..","177750.5906","..","175208.7045"
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Farm-gate emissions","CC.EAR.FGE","459005.2738","468289.9399","475303.6297","466741.4986","476204.2366","475014.2265","479127.7861","476679.36","..","..","..","385455.0057","..","389317.7433"
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Fires in humid tropical forests","CC.EAR.FTR","12.5059","38.6139","0.1085","1.5197","1.5195","2.7136","2.7133","0.5427","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Fires in organic soils","CC.EAR.FOS","0","0","0","0","0","0","0","0","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Forest fires","CC.EAR.FFR","1786.6302","3687.677","914.9485","2305.1418","1438.6424","2664.2556","2458.4517","1518.729","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Forestland","CC.EAR.FOR","-520573.1593","-520573.1593","-442325.7227","-459348.34","-331408.0367","-331408.0367","-331408.0367","-331408.0367","..","..","..","..","..",".."
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - IPCC Agriculture","CC.EAR.IPA","363642.0492","374275.2543","378351.8845","373331.4766","384945.3668","384572.654","388164.6516","386187.9492","..","..","..","385455.0057","..","389317.7433"
United States,"USA","Emission Totals - Emissions (CO2eq) (AR5) - Land Use change","CC.EAR.LUC","61092.1912","61118.2993","0.1085","1.5197","59728.8061","59730.0003","59730","59727.8294","..","..","..","..","..",".."
